Source.Name,Date_Range,Min_Price,Max_Price,Avg_Price
ayam_prices_2023.csv,24.12.2022 - 01.01.2023,6,6.9,6.52
ayam_prices_2023.csv,02.01.2023 - 07.01.2023,6,7,6.44
ayam_prices_2023.csv,08.01.2023 - 14.01.2023,6,6.85,6.25
ayam_prices_2023.csv,15.01.2023 - 21.01.2023,6,6.85,6.38
ayam_prices_2023.csv,22.01.2023 - 28.01.2023,6,6.85,6.45
ayam_prices_2023.csv,04.02.2023 - 10.02.2023,5.85,6.7,6.3
ayam_prices_2023.csv,11.02.2023 - 17.02.2023,5.85,6.7,6.33
ayam_prices_2023.csv,18.02.2023 - 24.02.2023,5.85,7.4,6.59
ayam_prices_2023.csv,25.02.2023 - 03.03.2023,5.85,7.4,6.59
ayam_prices_2023.csv,04.03.2023 - 10.03.2023,6.55,7,6.78
ayam_prices_2023.csv,11.03.2023 - 17.03.2023,6,7,6.61
ayam_prices_2023.csv,18.03.2023 - 24.03.2023,6.55,7.1,6.81
ayam_prices_2023.csv,25.03.2023 - 31.03.2023,6.55,7,6.75
ayam_prices_2023.csv,01.04.2023 - 07.04.2023,6.05,7.3,6.69
ayam_prices_2023.csv,08.04.2023 - 14.04.2023,6.05,7.3,6.58
ayam_prices_2023.csv,15.04.2023 - 21.04.2023,6.05,7.05,6.5
ayam_prices_2023.csv,22.04.2023 - 28.04.2023,6.4,7.05,6.65
ayam_prices_2023.csv,29.04.2023 - 05.05.2023,6.05,7.1,6.52
ayam_prices_2023.csv,06.05.2023 - 12.05.2023,6.5,7.2,6.75
ayam_prices_2023.csv,13.05.2023 - 19.05.2023,6.4,7.2,6.8
ayam_prices_2023.csv,20.05.2023 - 26.05.2023,6.4,7.2,6.8
ayam_prices_2023.csv,27.05.2023 - 02.06.2023,6,7.2,6.03
ayam_prices_2023.csv,03.06.2023 - 09.06.2023,6,7.5,6.75
ayam_prices_2023.csv,10.06.2023 - 16.06.2023,6,7.5,6.75
ayam_prices_2023.csv,17.06.2023 - 23.06.2023,6,7.2,6.03
ayam_prices_2023.csv,24.06.2023 - 30.06.2023,6,6.03,6.01
ayam_prices_2023.csv,01.07.2023 - 07.07.2023,5.98,6.95,6.31
ayam_prices_2023.csv,08.07.2023 - 14.07.2023,6,6.03,6.01
ayam_prices_2023.csv,15.07.2023 - 21.07.2023,6,6,6
ayam_prices_2023.csv,22.07.2023 - 28.07.2023,6,6,6
ayam_prices_2023.csv,29.07.2023 - 04.08.2023,6,6,6
ayam_prices_2023.csv,05.08.2023 - 11.08.2023,6,6,6
ayam_prices_2023.csv,12.08.2023 - 18.08.2023,6,6,6
ayam_prices_2023.csv,19.08.2023 - 26.08.2023,6,6,6
ayam_prices_2023.csv,27.08.2023 - 03.09.2023,6,6,6
ayam_prices_2023.csv,04.09.2023 - 10.09.2023,5.65,6,5.83
ayam_prices_2023.csv,11.09.2023 - 17.09.2023,5.5,6,5.75
ayam_prices_2023.csv,18.09.2023 - 24.09.2023,5.5,6,5.75
ayam_prices_2023.csv,25.09.2023 - 01.10.2023,5.4,6,5.7
ayam_prices_2023.csv,02.10.2023 - 08.10.2023,6.2,6.2,6.2
ayam_prices_2023.csv,09.10.2023 - 15.10.2023,6.35,6.35,6.35
ayam_prices_2023.csv,16.10.2023 - 22.10.2023,6.45,6.45,6.45
ayam_prices_2023.csv,23.10.2023 - 29.10.2023,5.4,5.4,5.4
ayam_prices_2023.csv,30.10.2023 - 05.11.2023,5.4,5.4,5.4
ayam_prices_2023.csv,06.11.2023 - 12.11.2023,5.7,6,5.85
ayam_prices_2023.csv,13.11.2023 - 19.11.2023,6.1,6.15,6.13
ayam_prices_2023.csv,20.11.2023 - 26.11.2023,6,6.05,6.03
ayam_prices_2023.csv,27.11.2023 - 03.12.2023,5.75,6.1,5.91
ayam_prices_2023.csv,04.12.2023 - 10.12.2023,6,6.3,6.17
ayam_prices_2023.csv,11.12.2023 - 17.12.2023,6.05,6.6,6.36
ayam_prices_2023.csv,18.12.2023 - 24.12.2023,6,6.9,6.51
ayam_prices_2023.csv,25.12.2023 - 31.12.2023,6,6.9,6.51
harga_ayam_2024.csv,01.01.2024 - 07.01.2024,5.8,7.2,6.47
harga_ayam_2024.csv,08.01.2024 - 14.01.2024,5.9,7.5,6.53
harga_ayam_2024.csv,15.01.2024 - 21.01.2024,5.5,6.5,5.95
harga_ayam_2024.csv,22.01.2024 - 28.01.2024,5,6.1,5.59
harga_ayam_2024.csv,29.01.2024 - 04.02.2024,5.8,6.3,5.99
harga_ayam_2024.csv,05.02.2024 - 11.02.2024,5.8,6.7,6.25
harga_ayam_2024.csv,12.02.2024 - 18.02.2024,5.6,6.4,6.05
harga_ayam_2024.csv,19.02.2024 - 25.02.2024,5.4,6.4,5.73
harga_ayam_2024.csv,26.02.2024 - 02.03.2024,5.1,6.1,5.6
harga_ayam_2024.csv,03.03.2024 - 09.03.2024,5.1,6.2,5.74
harga_ayam_2024.csv,10.03.2024 - 16.03.2024,5.8,6.7,6.2
harga_ayam_2024.csv,17.03.2024 - 23.03.2024,5.8,7,6.37
harga_ayam_2024.csv,24.03.2024 - 30.03.2024,5.2,6.5,5.97
harga_ayam_2024.csv,31.03.2024 - 06.04.2024,5.6,7.5,6.06
harga_ayam_2024.csv,07.04.2024 - 13.04.2024,5.5,6.6,6.2
harga_ayam_2024.csv,14.04.2024 - 20.04.2024,5,6.4,5.74
harga_ayam_2024.csv,21.04.2024 - 27.04.2024,4.6,6.7,5.36
harga_ayam_2024.csv,28.04.2024 - 04.05.2024,5.4,6.5,5.84
harga_ayam_2024.csv,05.05.2024 - 11.05.2024,5.7,7.1,6.42
harga_ayam_2024.csv,12.05.2024 - 18.05.2024,5.6,7.4,6.48
harga_ayam_2024.csv,19.05.2024 - 25.05.2024,5.7,7.4,6.77
harga_ayam_2024.csv,26.05.2024 - 01.06.2024,5.7,7.8,6.91
harga_ayam_2024.csv,02.06.2024 - 08.06.2024,5.7,7.4,6.64
harga_ayam_2024.csv,09.06.2024 - 16.06.2024,5.5,7.5,6.73
harga_ayam_2024.csv,17.06.2024 - 23.06.2024,5.5,7.6,6.76
